Type,Bedrooms,Bathrooms,Surface,Price,Price_per_m²,City,Zip_code,Region,Longitude,Latitude,Geographic_coordinates
 Maison,1,1,44,50000,1136.36,Montignies-Sur-Sambre,6061,Région wallonne,4.4729234863084,50.4109216,"50.4109216, 4.4729234863084"
 Maison,2,1,84,55000,654.76,Dour,7370,Région wallonne,3.7806897,50.3978815,"50.3978815, 3.7806897"
 Maison,2,1,92,55000,597.83,Marcinelle,6001,Région wallonne,4.4442531,50.3977245,"50.3977245, 4.4442531"
 Bungalow,2,1,220,56000,254.55,Xhoris,4190,Région wallonne,5.602069,50.443983,"50.443983, 5.602069"
 Maison,2,1,42,58000,1380.95,Blaimont,5542,Région wallonne,4.8352693,50.192216,"50.192216, 4.8352693"
 Maison,2,1,74,59000,797.3,Ougrée,4102,Région wallonne,5.5389943,50.5992632,"50.5992632, 5.5389943"
 Duplex,2,1,108,59000,546.3,Waimes,4950,Région wallonne,6.1117543,50.4149134,"50.4149134, 6.1117543"
 Maison,2,1,49,59000,1204.08,Souvret,6182,Région wallonne,4.350827,50.450999,"50.450999, 4.350827"
 Maison,2,1,120,59000,491.67,Templeuve,7520,Région wallonne,3.2831577,50.6449056,"50.6449056, 3.2831577"
 Maison,2,1,65,59000,907.69,Marchienne-Au-Pont,6030,Région wallonne,4.3960065,50.4067102,"50.4067102, 4.3960065"
 Maison,1,1,130,59000,453.85,Gaurain-Ramecroix,7530,Région wallonne,3.4834445,50.5924891,"50.5924891, 3.4834445"
 Maison,1,1,78,59000,756.41,Marcinelle,6001,Région wallonne,4.4442531,50.3977245,"50.3977245, 4.4442531"
 Maison,2,1,63,59000,936.51,Montignies-Sur-Sambre,6061,Région wallonne,4.4729234863084,50.4109216,"50.4109216, 4.4729234863084"
 Maison,1,1,84,59500,708.33,Montignies-Sur-Sambre,6061,Région wallonne,4.4729234863084,50.4109216,"50.4109216, 4.4729234863084"
 Appartement,3,1,83,59999,722.88,Monceau-Sur-Sambre,6031,Région wallonne,4.382402,50.4170168,"50.4170168, 4.382402"
 Appartement,1,1,57,59999,1052.61,Jumet,6040,Région wallonne,4.4360232749854,50.44466065,"50.44466065, 4.4360232749854"
 Maison,2,1,67,59999,895.51,Jumet,6040,Région wallonne,4.4360232749854,50.44466065,"50.44466065, 4.4360232749854"
 Maison,2,1,100,60000,600.0,Farciennes,6240,Région wallonne,4.553041,50.4273228,"50.4273228, 4.553041"
 Maison,5,1,213,60000,281.69,Gozée,6534,Région wallonne,4.3515595,50.3332279,"50.3332279, 4.3515595"
 Bungalow,4,1,45,60000,1333.33,Macon,6591,Région wallonne,4.2096331,50.052122,"50.052122, 4.2096331"
 Appartement,1,1,16,60000,3750.0,Tournai,7500,Région wallonne,3.3878259,50.60566,"50.60566, 3.3878259"
 Maison,1,1,75,60000,800.0,Erquelinnes,6560,Région wallonne,4.1241436,50.3102184,"50.3102184, 4.1241436"
 Maison,4,1,140,60000,428.57,Jumet,6040,Région wallonne,4.4360232749854,50.44466065,"50.44466065, 4.4360232749854"
 Maison,1,1,69,60000,869.57,Sirault,7332,Région wallonne,3.7881267,50.5060592,"50.5060592, 3.7881267"
 Maison,1,1,50,64000,1280.0,Boussu,7300,Région wallonne,3.7960902,50.4331253,"50.4331253, 3.7960902"
 Maison,4,1,120,64500,537.5,Pepinster,4860,Région wallonne,5.8037101,50.5675217,"50.5675217, 5.8037101"
 Maison,2,1,80,64900,811.25,Gosselies,6041,Région wallonne,4.4301757,50.4653846,"50.4653846, 4.4301757"
 Appartement,1,1,30,65000,2166.67,Verviers,4800,Région wallonne,5.8638544,50.5932274,"50.5932274, 5.8638544"
 Appartement,4,1,200,65000,325.0,Thimougies,7533,Région wallonne,3.5102508,50.6349458,"50.6349458, 3.5102508"
 Maison,2,1,42,65000,1547.62,Blaimont,5542,Région wallonne,4.8352693,50.192216,"50.192216, 4.8352693"
 Maison,3,1,210,65000,309.52,Thy-Le-Château,5651,Région wallonne,4.4278716,50.2827004,"50.2827004, 4.4278716"
 Maison,1,1,70,65000,928.57,Colfontaine,7340,Région wallonne,3.8513958,50.4056635,"50.4056635, 3.8513958"
 Maison,3,1,93,65000,698.92,La Bouverie,7080,Région wallonne,3.8774491,50.407951,"50.407951, 3.8774491"
 Maison,3,1,189,65000,343.92,Dour,7370,Région wallonne,3.7806897,50.3978815,"50.3978815, 3.7806897"
 Maison de rangée,1,1,39,65000,1666.67,Limal,1300,Région wallonne,4.5738899,50.6930127,"50.6930127, 4.5738899"
 Maison,3,1,97,66999,690.71,Bouffioulx,6200,Région wallonne,4.5151961,50.390213,"50.390213, 4.5151961"
 Appartement,2,1,65,68000,1046.15,Montignies-Sur-Sambre,6061,Région wallonne,4.4729234863084,50.4109216,"50.4109216, 4.4729234863084"
 Maison,2,1,128,69000,539.06,Brugelette,7940,Région wallonne,3.8546563,50.5954253,"50.5954253, 3.8546563"
 Appartement,1,1,28,69000,2464.29,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Appartement,1,1,28,69000,2464.29,Liège,4000,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,2,1,130,69000,530.77,Ressaix,7134,Région wallonne,4.1910482,50.4238109,"50.4238109, 4.1910482"
 Maison,3,1,95,69000,726.32,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Maison,2,1,54,69000,1277.78,Monceau-Sur-Sambre,6031,Région wallonne,4.382402,50.4170168,"50.4170168, 4.382402"
 Maison,2,1,130,69000,530.77,Fleurus,6220,Région wallonne,4.5446545325944,50.47194905,"50.47194905, 4.5446545325944"
 Maison,2,1,85,69500,817.65,Péruwelz,7600,Région wallonne,3.5908864,50.5097897,"50.5097897, 3.5908864"
 Maison,2,1,42,69500,1654.76,Blaimont,5542,Région wallonne,4.8352693,50.192216,"50.192216, 4.8352693"
 Maison,2,1,83,69995,843.31,Wasmes,7340,Région wallonne,3.846637,50.414181,"50.414181, 3.846637"
 Studio,1,1,15,70000,4666.67,Sint-Andries,8200,Région flamande,3.1750054151928,51.18830895,"51.18830895, 3.1750054151928"
 Maison,1,1,66,70000,1060.61,Vaux-Sous-Chèvremont,4051,Région wallonne,5.6335963,50.6018717,"50.6018717, 5.6335963"
 Maison,2,1,75,70000,933.33,Ougrée,4102,Région wallonne,5.5389943,50.5992632,"50.5992632, 5.5389943"
 Maison,2,1,69,70000,1014.49,Baudour,7331,Région wallonne,3.8327577,50.4814352,"50.4814352, 3.8327577"
 Maison,2,1,79,70000,886.08,Grâce-Hollogne,4460,Région wallonne,5.503152,50.644955,"50.644955, 5.503152"
 Maison quatre façades,4,1,208,70000,336.54,Saive,4671,Région wallonne,5.6820303,50.6525478,"50.6525478, 5.6820303"
 Appartement,1,1,32,70000,2187.5,Beauraing,5570,Région wallonne,4.9576144,50.1105211,"50.1105211, 4.9576144"
 Maison de rangée,2,1,146,70000,479.45,Châtelet,6200,Région wallonne,4.5243511,50.4046075,"50.4046075, 4.5243511"
 Maison,2,1,111,70000,630.63,Frameries,7080,Région wallonne,3.8905656,50.4087571,"50.4087571, 3.8905656"
 Appartement,1,1,25,70000,2800.0,Tournai,7500,Région wallonne,3.3878259,50.60566,"50.60566, 3.3878259"
 Maison,2,1,35,71000,2028.57,Grâce-Hollogne,4460,Région wallonne,5.503152,50.644955,"50.644955, 5.503152"
 Maison,2,1,117,74500,636.75,Jemeppe-Sur-Meuse,4101,Région wallonne,5.5049541,50.6168289,"50.6168289, 5.5049541"
 Maison,1,1,60,74900,1248.33,Courcelles,6180,Région wallonne,4.3763406,50.4601576,"50.4601576, 4.3763406"
 Maison,2,1,89,74900,841.57,Marchienne-Au-Pont,6030,Région wallonne,4.3960065,50.4067102,"50.4067102, 4.3960065"
 Appartement,2,1,60,74999,1249.98,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Maison,2,1,105,74999,714.28,Couillet,6010,Région wallonne,4.468631,50.391219,"50.391219, 4.468631"
 Bungalow,2,1,58,75000,1293.1,Vergnies,6440,Région wallonne,4.3059105,50.198614,"50.198614, 4.3059105"
 Maison,2,1,120,75000,625.0,Lambermont,4800,Région wallonne,5.191001,49.7051899,"49.7051899, 5.191001"
 Maison,1,1,100,75000,750.0,Colfontaine,7340,Région wallonne,3.8513958,50.4056635,"50.4056635, 3.8513958"
 Maison,2,1,103,75000,728.16,Eugies,7080,Région wallonne,3.8883703,50.3906692,"50.3906692, 3.8883703"
 Maison,3,1,143,75000,524.48,Villerot,7334,Région wallonne,3.7902777,50.4861629,"50.4861629, 3.7902777"
 Maison,3,1,117,75000,641.03,Dour,7370,Région wallonne,3.7806897,50.3978815,"50.3978815, 3.7806897"
 Maison,2,1,145,75000,517.24,Le Roeulx,7070,Région wallonne,4.112245,50.5034034,"50.5034034, 4.112245"
 Maison,2,1,88,75000,852.27,Boussu,7300,Région wallonne,3.7960902,50.4331253,"50.4331253, 3.7960902"
 Appartement,1,1,24,75000,3125.0,Nivelles,1400,Région wallonne,4.3319091758631,50.58916295,"50.58916295, 4.3319091758631"
 Appartement,2,1,80,75000,937.5,Marcinelle,6001,Région wallonne,4.4442531,50.3977245,"50.3977245, 4.4442531"
 Maison,3,1,140,75000,535.71,Saint-Hubert,6870,Région wallonne,5.3738561,50.0251428,"50.0251428, 5.3738561"
 Maison,6,1,151,75000,496.69,Verviers,4800,Région wallonne,5.8638544,50.5932274,"50.5932274, 5.8638544"
 Maison Trois Façades,3,1,139,75000,539.57,Jemappes,7012,Région wallonne,3.8894392,50.448422,"50.448422, 3.8894392"
 Maison,2,1,64,75000,1171.88,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Maison,1,1,60,75000,1250.0,Flénu,7012,Région wallonne,3.8878381,50.4367571,"50.4367571, 3.8878381"
 Maison,2,2,87,75000,862.07,Châtelet,6200,Région wallonne,4.5243511,50.4046075,"50.4046075, 4.5243511"
 Maison,2,1,92,75000,815.22,Haine-Saint-Paul,7100,Région wallonne,4.1883094,50.454942,"50.454942, 4.1883094"
 Appartement,1,1,45,75000,1666.67,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Maison,4,1,140,77500,553.57,Gosselies,6041,Région wallonne,4.4301757,50.4653846,"50.4653846, 4.4301757"
 Maison,1,1,80,78000,975.0,Péruwelz,7600,Région wallonne,3.5908864,50.5097897,"50.5097897, 3.5908864"
 Maison,1,1,45,78000,1733.33,Herstal,4040,Région wallonne,5.6403906,50.6701887,"50.6701887, 5.6403906"
 Maison,2,1,93,78000,838.71,Dour,7370,Région wallonne,3.7806897,50.3978815,"50.3978815, 3.7806897"
 Maison,2,1,99,78000,787.88,Marcinelle,6001,Région wallonne,4.4442531,50.3977245,"50.3977245, 4.4442531"
 Appartement,1,1,50,79000,1580.0,Embourg,4053,Région wallonne,5.619201,50.5893639,"50.5893639, 5.619201"
 Maison,3,2,190,79000,415.79,Saint-Vaast,7100,Région wallonne,4.1604101,50.4525018,"50.4525018, 4.1604101"
 Maison,2,1,118,79000,669.49,Morlanwelz-Mariemont,7140,Région wallonne,4.243909,50.4544626,"50.4544626, 4.243909"
 Maison,2,1,113,79000,699.12,Trazegnies,6183,Région wallonne,4.3317415,50.4665295,"50.4665295, 4.3317415"
 Appartement,2,1,58,79000,1362.07,Dison,4820,Région wallonne,5.854735,50.611374,"50.611374, 5.854735"
 Appartement,2,1,60,79000,1316.67,Dison,4820,Région wallonne,5.854735,50.611374,"50.611374, 5.854735"
 Maison,3,1,120,79000,658.33,Mouscron,7700,Région wallonne,3.2139093,50.7433351,"50.7433351, 3.2139093"
 Maison,1,1,85,79000,929.41,Dampremy,6020,Région wallonne,4.4322464,50.4186181,"50.4186181, 4.4322464"
 Maison,3,1,98,79000,806.12,Châtelet,6200,Région wallonne,4.5243511,50.4046075,"50.4046075, 4.5243511"
 Maison,3,1,130,79000,607.69,Lambermont,4800,Région wallonne,5.191001,49.7051899,"49.7051899, 5.191001"
 Maison,2,1,100,79000,790.0,Verviers,4800,Région wallonne,5.8638544,50.5932274,"50.5932274, 5.8638544"
 Appartement,2,1,75,79000,1053.33,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Maison,2,1,76,79000,1039.47,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,2,1,76,79000,1039.47,Liège,4000,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison quatre façades,3,1,50,79000,1580.0,Froidchapelle,6440,Région wallonne,4.3269129,50.1511597,"50.1511597, 4.3269129"
 Appartement,1,1,30,79000,2633.33,Le coq,8420,Région flamande,3.0049248,51.2415107,"51.2415107, 3.0049248"
 Appartement,1,1,30,79000,2633.33,Le coq,8420,Région flamande,3.0927740709639,51.3019771,"51.3019771, 3.0927740709639"
 Appartement,1,1,30,79000,2633.33,Le coq,8420,Région flamande,3.0238828,51.242521,"51.242521, 3.0238828"
 Maison,2,1,113,79000,699.12,Morlanwelz-Mariemont,7140,Région wallonne,4.243909,50.4544626,"50.4544626, 4.243909"
 Appartement,1,1,45,79000,1755.56,Andrimont,4821,Région wallonne,5.8901888,50.4386821,"50.4386821, 5.8901888"
 Appartement,1,1,52,79000,1519.23,Marenne,6990,Région wallonne,5.4165812,50.2418351,"50.2418351, 5.4165812"
 Maison,2,1,69,79000,1144.93,Haine-Saint-Pierre,7100,Région wallonne,4.2000181,50.4547557,"50.4547557, 4.2000181"
 Appartement,1,1,45,79000,1755.56,Jumet,6040,Région wallonne,4.4360232749854,50.44466065,"50.44466065, 4.4360232749854"
 Maison,3,1,89,79900,897.75,Gilly,6060,Région wallonne,4.485649013438,50.4269705,"50.4269705, 4.485649013438"
 Maison,3,1,67,79900,1192.54,Mont-Sur-Marchienne,6032,Région wallonne,4.4046365,50.3902046,"50.3902046, 4.4046365"
 Maison,3,1,110,79999,727.26,Wanfercée-Baulet,6224,Région wallonne,4.5816274059151,50.47584335,"50.47584335, 4.5816274059151"
 Maison,3,1,152,79999,526.31,Gilly,6060,Région wallonne,4.485649013438,50.4269705,"50.4269705, 4.485649013438"
 Maison,2,1,125,79999,639.99,Roux,6044,Région wallonne,4.3907758274107,50.4415002,"50.4415002, 4.3907758274107"
 Appartement,1,1,26,80000,3076.92,Blanckenberghe,8370,Région flamande,3.1297578035057,51.31651475,"51.31651475, 3.1297578035057"
 Appartement,1,1,26,80000,3076.92,Blanckenberghe,8370,Région flamande,3.1404868099971,51.2996935,"51.2996935, 3.1404868099971"
 Maison,3,1,150,80000,533.33,Quiévrain,7380,Région wallonne,3.6819263,50.4084818,"50.4084818, 3.6819263"
 Maison,3,1,135,80000,592.59,Carnières,7141,Région wallonne,4.2542126,50.443039,"50.443039, 4.2542126"
 Maison,2,1,99,80000,808.08,Tilff,4130,Région wallonne,5.594232762079,50.5613241,"50.5613241, 5.594232762079"
 Maison,2,1,81,80000,987.65,Flémalle,4400,Région wallonne,5.4580872,50.6022808,"50.6022808, 5.4580872"
 Maison Trois Façades,2,1,94,80000,851.06,Châtelet,6200,Région wallonne,4.5243511,50.4046075,"50.4046075, 4.5243511"
 Maison,3,1,108,80000,740.74,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,3,1,108,80000,740.74,Liège,4000,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,2,1,112,80000,714.29,Elouges,7370,Région wallonne,3.7521047,50.4036968,"50.4036968, 3.7521047"
 Maison,1,1,82,80000,975.61,Bertrix,6880,Région wallonne,5.2529266,49.8546564,"49.8546564, 5.2529266"
 Maison,2,1,71,80000,1126.76,Barry,7534,Région wallonne,3.5430623,50.5875423,"50.5875423, 3.5430623"
 Maison,2,1,50,80000,1600.0,Durbuy,6940,Région wallonne,5.456248,50.3524116,"50.3524116, 5.456248"
 Maison,2,1,60,80000,1333.33,Viroinval,5670,Région wallonne,4.6270287,50.0516361,"50.0516361, 4.6270287"
 Maison,2,1,98,80000,816.33,Brugelette,7940,Région wallonne,3.8546563,50.5954253,"50.5954253, 3.8546563"
 Maison Trois Façades,3,1,100,80000,800.0,Eugies,7080,Région wallonne,3.8883703,50.3906692,"50.3906692, 3.8883703"
 Maison,4,1,140,80000,571.43,Poucet,4280,Région wallonne,5.1124332,50.6777766,"50.6777766, 5.1124332"
 Appartement,1,1,42,82000,1952.38,Tournai,7500,Région wallonne,3.3878259,50.60566,"50.60566, 3.3878259"
 Appartement,1,1,50,84000,1680.0,Quiévrain,7380,Région wallonne,3.6819263,50.4084818,"50.4084818, 3.6819263"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9572488,49.9589147,"49.9589147, 4.9572488"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9276767,49.960145,"49.960145, 4.9276767"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9609972,50.0121497,"50.0121497, 4.9609972"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9521201,49.9999798,"49.9999798, 4.9521201"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.871198,50.0221032,"50.0221032, 4.871198"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9388966,49.9792667,"49.9792667, 4.9388966"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.855026,50.0250695,"50.0250695, 4.855026"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9445943,49.942041,"49.942041, 4.9445943"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.8847815,49.9922547,"49.9922547, 4.8847815"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.8475671,49.9874142,"49.9874142, 4.8475671"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9175574,50.0014538,"50.0014538, 4.9175574"
 Maison,3,1,140,84900,606.43,Pétigny,5575,Région wallonne,4.9198406,50.0323702,"50.0323702, 4.9198406"
 Appartement,1,1,61,84900,1391.8,La Louvière,7100,Région wallonne,4.1852682,50.479487,"50.479487, 4.1852682"
 Maison,2,1,77,85000,1103.9,Pâturages,7340,Région wallonne,3.8513958,50.4056635,"50.4056635, 3.8513958"
 Maison,2,1,77,85000,1103.9,Pâturages,7340,Région wallonne,3.8223517,50.4002638,"50.4002638, 3.8223517"
 Maison,2,1,77,85000,1103.9,Pâturages,7340,Région wallonne,3.846637,50.414181,"50.414181, 3.846637"
 Maison,2,1,77,85000,1103.9,Pâturages,7340,Région wallonne,3.8629223,50.4136507,"50.4136507, 3.8629223"
 Maison,3,1,150,85000,566.67,Frameries,7080,Région wallonne,3.8905656,50.4087571,"50.4087571, 3.8905656"
 Maison,2,1,102,85000,833.33,Pont-De-Loup,6250,Région wallonne,4.5459892,50.4173702,"50.4173702, 4.5459892"
 Appartement,1,1,44,85000,1931.82,Mouscron,7700,Région wallonne,3.2139093,50.7433351,"50.7433351, 3.2139093"
 Appartement,1,1,45,85000,1888.89,Mouscron,7700,Région wallonne,3.2139093,50.7433351,"50.7433351, 3.2139093"
 Maison,3,2,150,85000,566.67,Thy-Le-Château,5651,Région wallonne,4.4278716,50.2827004,"50.2827004, 4.4278716"
 Maison Trois Façades,3,1,163,85000,521.47,Wiers,7608,Région wallonne,3.533035,50.508665,"50.508665, 3.533035"
 Maison,3,1,137,85000,620.44,Pepinster,4860,Région wallonne,5.8037101,50.5675217,"50.5675217, 5.8037101"
 Maison,3,1,217,85000,391.71,Verviers,4800,Région wallonne,5.8638544,50.5932274,"50.5932274, 5.8638544"
 Maison,2,1,80,85000,1062.5,Comines,7780,Région wallonne,2.998666,50.768736,"50.768736, 2.998666"
 Studio,1,1,25,85000,3400.0,Deurne,3290,Région flamande,5.0964572,51.0392379,"51.0392379, 5.0964572"
 Studio,1,1,25,85000,3400.0,Deurne,2100,Région flamande,4.4695254092764,51.2115284,"51.2115284, 4.4695254092764"
 Maison,2,1,130,85000,653.85,Montignies-Sur-Sambre,6061,Région wallonne,4.4729234863084,50.4109216,"50.4109216, 4.4729234863084"
 Maison Trois Façades,5,2,251,85000,338.65,Rance,6470,Région wallonne,4.2731851,50.1430111,"50.1430111, 4.2731851"
 Maison,2,1,93,85000,913.98,Pâturages,7340,Région wallonne,3.8513958,50.4056635,"50.4056635, 3.8513958"
 Maison,2,1,93,85000,913.98,Pâturages,7340,Région wallonne,3.8223517,50.4002638,"50.4002638, 3.8223517"
 Maison,2,1,93,85000,913.98,Pâturages,7340,Région wallonne,3.846637,50.414181,"50.414181, 3.846637"
 Maison,2,1,93,85000,913.98,Pâturages,7340,Région wallonne,3.8629223,50.4136507,"50.4136507, 3.8629223"
 Maison,3,1,147,85000,578.23,Mouscron,7700,Région wallonne,3.2139093,50.7433351,"50.7433351, 3.2139093"
 Maison,3,1,86,85000,988.37,Houdeng-Goegnies,7110,Région wallonne,4.1575303,50.4879863,"50.4879863, 4.1575303"
 Appartement,1,1,25,85000,3400.0,Westende,8434,Région flamande,2.7777512824641,51.15833025,"51.15833025, 2.7777512824641"
 Appartement,1,1,32,85000,2656.25,Blanckenberghe,8370,Région flamande,3.1297578035057,51.31651475,"51.31651475, 3.1297578035057"
 Appartement,1,1,32,85000,2656.25,Blanckenberghe,8370,Région flamande,3.1404868099971,51.2996935,"51.2996935, 3.1404868099971"
 Maison,2,1,134,85000,634.33,Boussu,7300,Région wallonne,3.7960902,50.4331253,"50.4331253, 3.7960902"
 Appartement,1,1,83,85000,1024.1,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Appartement,1,1,86,85000,988.37,Montignies-Sur-Sambre,6061,Région wallonne,4.4729234863084,50.4109216,"50.4109216, 4.4729234863084"
 Maison,3,1,213,85000,399.06,Péruwelz,7600,Région wallonne,3.5908864,50.5097897,"50.5097897, 3.5908864"
 Maison,2,1,90,86000,955.56,Morlanwelz-Mariemont,7140,Région wallonne,4.243909,50.4544626,"50.4544626, 4.243909"
 Maison Trois Façades,1,1,76,87000,1144.74,Eben-Emael,4690,Région wallonne,5.6702417,50.7994409,"50.7994409, 5.6702417"
 Maison,4,2,167,88000,526.95,Jumet,6040,Région wallonne,4.4360232749854,50.44466065,"50.44466065, 4.4360232749854"
 Maison,2,1,88,88000,1000.0,Mainvault,7812,Région wallonne,3.7184421,50.6495829,"50.6495829, 3.7184421"
 Maison,2,1,85,88900,1045.88,Menin,8930,Région flamande,3.1938978797182,50.78879055,"50.78879055, 3.1938978797182"
 Maison,2,1,85,88900,1045.88,Menin,8930,Région flamande,3.1658835832872,50.7743769,"50.7743769, 3.1658835832872"
 Maison,2,1,85,88900,1045.88,Menin,8930,Région flamande,3.1156565,50.7969879,"50.7969879, 3.1156565"
 Appartement,1,1,38,89000,2342.11,Ostende,8400,Région flamande,2.9203275,51.2303177,"51.2303177, 2.9203275"
 Appartement,1,1,38,89000,2342.11,Ostende,8400,Région flamande,2.9668008654261,51.20484775,"51.20484775, 2.9668008654261"
 Appartement,1,1,38,89000,2342.11,Ostende,8400,Région flamande,2.9200835535007,51.20214645,"51.20214645, 2.9200835535007"
 Appartement,1,1,53,89000,1679.25,Coxyde,8670,Région flamande,2.6353426015022,51.1091101,"51.1091101, 2.6353426015022"
 Appartement,1,1,53,89000,1679.25,Coxyde,8670,Région flamande,2.7012679966518,51.12531835,"51.12531835, 2.7012679966518"
 Appartement,1,1,53,89000,1679.25,Coxyde,8670,Région flamande,2.7073119164927,51.09779175,"51.09779175, 2.7073119164927"
 Maison,3,1,114,89000,780.7,Zichen-Zussen-Bolder,3770,Région flamande,5.6153404,50.7943475,"50.7943475, 5.6153404"
 Maison,2,1,89,89000,1000.0,Trooz,4870,Région wallonne,5.6883726,50.5728102,"50.5728102, 5.6883726"
 Maison,3,1,113,89000,787.61,Mouscron,7700,Région wallonne,3.2139093,50.7433351,"50.7433351, 3.2139093"
 Appartement,2,1,68,89000,1308.82,Dison,4820,Région wallonne,5.854735,50.611374,"50.611374, 5.854735"
 Appartement,1,1,78,89000,1141.03,Tournai,7500,Région wallonne,3.3878259,50.60566,"50.60566, 3.3878259"
 Appartement,1,1,70,89000,1271.43,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Appartement,1,1,30,89000,2966.67,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Appartement,1,1,30,89000,2966.67,Liège,4000,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,4,1,135,89000,659.26,Marchienne-Au-Pont,6030,Région wallonne,4.3960065,50.4067102,"50.4067102, 4.3960065"
 Maison,2,1,95,89000,936.84,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,2,1,95,89000,936.84,Liège,4000,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Appartement,2,1,65,89000,1369.23,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Appartement,2,1,72,89500,1243.06,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Appartement,1,1,38,89500,2355.26,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
